city,property_type,area_sqft,bedrooms,price,year_listed
Pune,Plot,4599,0,19897654,2025
Mumbai,Apartment,796,1,11980662,2022
Pune,Studio,372,1,1861489,2021
Delhi,Studio,495,1,3826191,2023
Bengaluru,Villa,2799,3,48629862,2021
Hyderabad,Apartment,670,3,5595280,2025
Bengaluru,Villa,4391,3,84763683,2025
Pune,Independent House,1981,2,20087656,2021
Hyderabad,Apartment,1112,2,8896480,2025
Pune,Apartment,1113,2,7839270,2022
Bengaluru,Independent House,2687,3,43141998,2023
Mumbai,Apartment,769,2,9449622,2023
Hyderabad,Apartment,1247,3,9122815,2023
Delhi,Apartment,841,3,10696666,2024
Hyderabad,Villa,2949,4,50715093,2025
Hyderabad,Villa,4257,4,54869504,2023
Mumbai,Studio,470,1,5163820,2025
Pune,Studio,343,1,1967914,2023
Delhi,Plot,3617,0,23118749,2024
Bengaluru,Plot,4394,0,19841662,2023
Delhi,Independent House,1601,4,25821342,2025
Pune,Plot,4085,0,12949150,2023
Pune,Studio,336,1,1464854,2021
Hyderabad,Villa,3080,5,55396293,2024
Mumbai,Studio,399,1,4055895,2023
Mumbai,Apartment,1448,1,20172733,2021
Lucknow,Independent House,1240,4,7853280,2024
Hyderabad,Independent House,2069,2,26760973,2025
Bengaluru,Independent House,2684,3,39444525,2022
Pune,Independent House,1238,3,13796599,2023
Mumbai,Plot,3624,0,26194143,2023
Hyderabad,Studio,455,1,2686777,2024
Mumbai,Villa,2392,3,64749876,2023
Bengaluru,Studio,357,1,2420319,2022
Delhi,Villa,3703,3,84512292,2025
Hyderabad,Independent House,2053,4,25476348,2023
Hyderabad,Apartment,659,2,3854876,2023
Bengaluru,Plot,2993,0,16421092,2023
Bengaluru,Plot,2567,0,13218698,2022
Mumbai,Apartment,1573,3,26995549,2024
Lucknow,Villa,4374,5,39943194,2021
Lucknow,Studio,331,1,1140071,2023
Pune,Plot,1515,0,6023629,2023
Delhi,Villa,4069,3,69488491,2022
Pune,Apartment,1570,2,12431418,2025
Lucknow,Villa,3038,4,23408649,2022
Lucknow,Independent House,1802,2,12253600,2025
Lucknow,Apartment,1685,2,7820225,2023
Pune,Villa,2057,4,31982342,2024
Hyderabad,Plot,4855,0,17504243,2024
Delhi,Plot,1087,0,5544891,2021
Pune,Apartment,1535,1,11902386,2025
Pune,Independent House,2055,3,23131813,2023
Pune,Plot,2506,0,10380552,2024
Hyderabad,Apartment,810,3,5860391,2022
Hyderabad,Plot,4209,0,13735725,2025
Hyderabad,Apartment,1878,1,12832997,2022
Mumbai,Independent House,1409,2,26209981,2021
Mumbai,Plot,2870,0,22856724,2025
Pune,Independent House,2065,4,25887925,2024
Pune,Studio,599,1,3701080,2024
Delhi,Villa,2948,5,60023554,2022
Lucknow,Plot,1299,0,2625530,2024
Bengaluru,Plot,3795,0,20432376,2024
Bengaluru,Studio,597,1,3773011,2024
Pune,Villa,3905,5,55744025,2022
Lucknow,Plot,1558,0,4152898,2024
Hyderabad,Independent House,1629,4,13717948,2023
Mumbai,Apartment,1018,1,14272018,2023
Hyderabad,Apartment,1358,1,8868436,2022
Delhi,Independent House,2718,3,42803962,2022
Hyderabad,Villa,3270,4,42104517,2022
Delhi,Independent House,2301,4,39170423,2024
Hyderabad,Plot,4046,0,11503971,2023
Lucknow,Villa,3635,4,31353502,2022
Mumbai,Studio,473,1,4688827,2021
Bengaluru,Apartment,1200,2,12589530,2023
Bengaluru,Villa,2714,4,58073049,2021
Bengaluru,Plot,2016,0,9457041,2022
Pune,Villa,4563,5,75732515,2024
Hyderabad,Studio,317,1,1334502,2022
Mumbai,Plot,1213,0,8683370,2025
Lucknow,Apartment,909,3,3679725,2021
Bengaluru,Apartment,1464,2,14207231,2023
Mumbai,Villa,3299,5,96459813,2024
Mumbai,Villa,4976,4,132599299,2022
Hyderabad,Villa,4067,3,55067994,2023
Lucknow,Independent House,1690,4,10674574,2022
Mumbai,Villa,2383,5,58698528,2021
Delhi,Studio,445,1,3655608,2023
Hyderabad,Plot,1706,0,7040521,2023
Bengaluru,Apartment,1274,2,13337686,2022
Hyderabad,Independent House,2435,3,27391689,2025
Delhi,Independent House,1386,4,19646962,2021
Pune,Studio,566,1,3053786,2022
Mumbai,Apartment,1500,1,22078756,2025
Delhi,Studio,573,1,4054372,2021
Mumbai,Independent House,1830,4,48030049,2025
Delhi,Plot,1349,0,7044180,2022
Delhi,Studio,361,1,2851009,2024
Hyderabad,Studio,337,1,1473543,2021
Delhi,Villa,4603,4,109536423,2023
Hyderabad,Apartment,779,1,6508282,2025
Lucknow,Studio,410,1,1320316,2024
Mumbai,Plot,2600,0,15845226,2021
Pune,Studio,409,1,2138108,2022
Mumbai,Independent House,1677,3,36614257,2023
Pune,Independent House,2493,2,26792673,2022
Mumbai,Plot,3692,0,25226476,2022
Pune,Villa,4136,5,58252683,2021
Bengaluru,Independent House,1502,2,24940324,2025
Pune,Villa,2070,4,32238906,2022
Lucknow,Plot,2381,0,5513821,2024
Pune,Plot,4154,0,17861864,2023
Hyderabad,Studio,426,1,2010165,2023
Pune,Apartment,1275,1,10676556,2024
Pune,Independent House,1375,2,18676732,2025
Bengaluru,Apartment,1773,1,17529276,2021
Pune,Villa,3159,3,40326188,2023
Bengaluru,Independent House,2651,4,41593181,2022
Pune,Independent House,2062,2,26968815,2024
Bengaluru,Independent House,1847,3,27690407,2023
Bengaluru,Villa,2978,5,62593368,2024
Delhi,Apartment,1647,1,17433050,2024
Lucknow,Independent House,2036,2,12454630,2023
Delhi,Villa,4699,4,106320649,2022
Mumbai,Studio,324,1,2477197,2021
Bengaluru,Independent House,2570,3,34174357,2023
Bengaluru,Plot,1447,0,8671344,2025
Pune,Plot,4326,0,21628537,2025
Lucknow,Villa,4634,4,33749829,2021
Mumbai,Villa,4887,5,135497972,2025
Hyderabad,Apartment,1243,2,9705515,2024
Bengaluru,Independent House,2321,4,38900381,2023
Delhi,Independent House,1597,4,25693802,2023
Bengaluru,Independent House,2867,4,38119766,2021
Bengaluru,Plot,2402,0,9883315,2025
Lucknow,Independent House,1067,3,6480447,2025
Bengaluru,Studio,592,1,4495579,2025
Delhi,Apartment,1741,1,17442524,2024
Pune,Villa,2398,4,40630507,2024
Mumbai,Independent House,1979,4,44362467,2022
Pune,Independent House,1898,2,26558904,2022
Delhi,Independent House,1482,3,19621934,2021
Delhi,Studio,422,1,2593637,2021
Hyderabad,Apartment,630,1,5076274,2024
Delhi,Studio,476,1,3280919,2023
Hyderabad,Apartment,1214,2,8814827,2024
Pune,Studio,513,1,2582244,2021
Hyderabad,Independent House,1563,4,14632663,2021
Hyderabad,Villa,3433,5,47953810,2021
Hyderabad,Studio,570,1,2884598,2022
Lucknow,Independent House,1376,2,10083176,2023
Lucknow,Villa,2160,5,15039416,2023
Delhi,Independent House,1537,2,25761108,2022
Bengaluru,Villa,3575,3,75584342,2022
Mumbai,Villa,4836,3,128882070,2021
Delhi,Apartment,876,3,8877184,2025
Bengaluru,Independent House,2835,3,33569995,2021
Hyderabad,Plot,3523,0,11246682,2022
Bengaluru,Independent House,2598,4,37509424,2025
Delhi,Independent House,1545,4,31298370,2025
Bengaluru,Apartment,1953,3,19294672,2024
Hyderabad,Plot,4984,0,13454612,2021
Mumbai,Studio,387,1,3103663,2023
Lucknow,Villa,2081,3,17818876,2023
